Employbl Company ID,Company Name,Website,Address 1,City,State,Zip,Latitude,Longitude
6,23andMe,23andme.com,899 W Evelyn Ave,Mountain View,CA,94041,37.395208,-122.079159
1075,280 Group,280group.com,142B S Santa Cruz Ave,Los Gatos,CA,95030,37.220624,-121.985589
984,5AM Ventures,5amventures.com,2200 Sand Hill Road,Menlo Park,CA,94025,37.422774,-122.199215
1088,Accel,www.accel.com,2500 Sand Hill Road,Menlo Park,CA,94025,37.421750,-122.204843
15,Addepar,addepar.com,303 Bryant St,Mountain View,CA,94041,37.392670,-122.080849
16,Adecco Group,www.adeccogroup.com,903 Sneath Ln Ste 123,San Bruno,CA,94066,37.635000,-122.424555
18,Adobe,www.adobe.com,601 Townsend St,San Francisco,CA,94103,37.771206,-122.401662
1081,AgilOne,acquia.com,771 Vaqueros Ave,Sunnyvale,CA,94085,37.395589,-122.031758
33,Alation,alation.com,805 Veterans Blvd #307,Redwood City,CA,94063,37.491223,-122.228606
35,AlienVault,www.alienvault.com,1100 Park Pl #300,San Mateo,CA,94403,37.545105,-122.290819
986,Altimeter Capital,,2420 Sand Hill Road,Menlo Park,CA,94025,37.422643,-122.203958
987,Altos Ventures,,2882 Sand Hill Road,Menlo Park,CA,94025,37.421968,-122.214066
41,Amazon,amazon.com,1900 University Ave,East Palo Alto,CA,94303,37.459056,-122.142821
43,Ambient.ai,ambient.ai,459 Hamilton Ave,Palo Alto,CA,94301,37.447222,-122.158617
44,AMD,www.amd.com,2485 Augustine Dr,Santa Clara,CA,95054,37.382925,-121.970384
1097,Amply Power,www.amplypower.com,335 E Middlefield Rd,Mountain View,CA,94043,37.396461,-122.058804
988,Andreessen Horowitz,a16z.com,2865 Sand Hill Road,Menlo Park,CA,94025,37.419730,-122.214244
49,Anomali,anomali.com,808 Winslow St,Redwood City,CA,94063,37.486075,-122.231216
55,Apple,www.apple.com,Apple Campus,Cupertino,CA,95014,37.331820,-122.031180
61,Apttus,apttus.com,1400 Fashion Island Blvd #100,San Mateo,CA,94404,37.556081,-122.288161
